Group,Subgroup,Emoji,Title,DescribedBy,URL
smiley,Smiling & Affectionate,😀,Grinning Face,grinning-face,/grinning-face
smiley,Smiling & Affectionate,😃,Grinning Face with Big Eyes,grinning-face-with-big-eyes,/grinning-face-with-big-eyes
smiley,Smiling & Affectionate,😄,Grinning Face with Smiling Eyes,grinning-face-with-smiling-eyes,/grinning-face-with-smiling-eyes
smiley,Smiling & Affectionate,😁,Beaming Face with Smiling Eyes,beaming-face-with-smiling-eyes,/beaming-face-with-smiling-eyes
smiley,Smiling & Affectionate,😆,Grinning Squinting Face,grinning-squinting-face,/grinning-squinting-face
smiley,Smiling & Affectionate,😅,Grinning Face with Sweat,grinning-face-with-sweat,/grinning-face-with-sweat
smiley,Smiling & Affectionate,🤣,Rolling on the Floor Laughing,rolling-on-the-floor-laughing,/rolling-on-the-floor-laughing
smiley,Smiling & Affectionate,😂,Face with Tears of Joy,face-with-tears-of-joy,/face-with-tears-of-joy
smiley,Smiling & Affectionate,🙂,Slightly Smiling Face,slightly-smiling-face,/slightly-smiling-face
smiley,Smiling & Affectionate,😉,Winking Face,winking-face,/winking-face
smiley,Smiling & Affectionate,😊,Smiling Face with Smiling Eyes,smiling-face-with-smiling-eyes,/smiling-face-with-smiling-eyes
smiley,Smiling & Affectionate,😇,Smiling Face with Halo,smiling-face-with-halo,/smiling-face-with-halo
smiley,Smiling & Affectionate,🥰,Smiling Face with Hearts,smiling-face-with-hearts,/smiling-face-with-hearts
smiley,Smiling & Affectionate,😍,Smiling Face with Heart-Eyes,smiling-face-with-heart-eyes,/smiling-face-with-heart-eyes
smiley,Smiling & Affectionate,🤩,Star-Struck,star-struck,/star-struck
smiley,Smiling & Affectionate,😘,Face Blowing a Kiss,face-blowing-a-kiss,/face-blowing-a-kiss
smiley,Smiling & Affectionate,😗,Kissing Face,kissing-face,/kissing-face
smiley,Smiling & Affectionate,☺️,Smiling Face,smiling-face,/smiling-face
smiley,Smiling & Affectionate,😚,Kissing Face with Closed Eyes,kissing-face-with-closed-eyes,/kissing-face-with-closed-eyes
smiley,Smiling & Affectionate,😙,Kissing Face with Smiling Eyes,kissing-face-with-smiling-eyes,/kissing-face-with-smiling-eyes
smiley,Smiling & Affectionate,🥲,Smiling Face with Tear,smiling-face-with-tear,/smiling-face-with-tear
smiley,Smiling & Affectionate,😏,Smirking Face,smirking-face,/smirking-face
smiley,"Tongues, Hands & Accessories",😋,Face Savoring Food,face-savoring-food,/face-savoring-food
smiley,"Tongues, Hands & Accessories",😛,Face with Tongue,face-with-tongue,/face-with-tongue
smiley,"Tongues, Hands & Accessories",😜,Winking Face with Tongue,winking-face-with-tongue,/winking-face-with-tongue
smiley,"Tongues, Hands & Accessories",🤪,Zany Face,zany-face,/zany-face
smiley,"Tongues, Hands & Accessories",😝,Squinting Face with Tongue,squinting-face-with-tongue,/squinting-face-with-tongue
smiley,"Tongues, Hands & Accessories",🤑,Money-Mouth Face,money-mouth-face,/money-mouth-face
smiley,"Tongues, Hands & Accessories",🤗,Smiling Face with Open Hands,hugging-face,/hugging-face
smiley,"Tongues, Hands & Accessories",🤭,Face with Hand Over Mouth,face-with-hand-over-mouth,/face-with-hand-over-mouth
smiley,"Tongues, Hands & Accessories",🫢,Face with Open Eyes and Hand Over Mouth,face-with-open-eyes-and-hand-over-mouth,/face-with-open-eyes-and-hand-over-mouth
smiley,"Tongues, Hands & Accessories",🫣,Face with Peeking Eye,face-with-peeking-eye,/face-with-peeking-eye
smiley,"Tongues, Hands & Accessories",🤫,Shushing Face,shushing-face,/shushing-face
smiley,"Tongues, Hands & Accessories",🤔,Thinking Face,thinking-face,/thinking-face
smiley,"Tongues, Hands & Accessories",🫡,Saluting Face,saluting-face,/saluting-face
smiley,"Tongues, Hands & Accessories",🤤,Drooling Face,drooling-face,/drooling-face
smiley,"Tongues, Hands & Accessories",🤠,Cowboy Hat Face,cowboy-hat-face,/cowboy-hat-face
smiley,"Tongues, Hands & Accessories",🥳,Partying Face,partying-face,/partying-face
smiley,"Tongues, Hands & Accessories",🥸,Disguised Face,disguised-face,/disguised-face
smiley,"Tongues, Hands & Accessories",😎,Smiling Face with Sunglasses,smiling-face-with-sunglasses,/smiling-face-with-sunglasses
smiley,"Tongues, Hands & Accessories",🤓,Nerd Face,nerd-face,/nerd-face
smiley,"Tongues, Hands & Accessories",🧐,Face with Monocle,face-with-monocle,/face-with-monocle
